ObjektNr;Objektname;Baustelle;BaustPLZ;BaustOrt;BaustKanton;BaustBezirk;ReferenzNr;Kurzbeschreibung;Baustadium;BaustadiumDatum;BaustadiumAlt;BaustadiumDatumAlt;Baukosten;Baubeginn;Bauende;AnzWhg;Hauptkategorie;KatCode01;KatText01;KatCode02;KatText02;KatCode03;KatText03;KatCode04;KatText04;KatCode05;KatText05;KatCode06;KatText06;KatCode07;KatText07;KatCode08;KatText08;KatCode09;KatText09;KatCode10;KatText10
3273097;Umbau/Umnutzung Ladenlokal in Café;Tannenboden;8898;Flumserberg Tannenbodenalp;SG;Sarganserland;Gst. 1982;Umbau/Umnutzung Ladenlokal in Café (Unternehmer bestimmt);Baubewilligung erteilt;26.03.2024;Baugesuch eingereicht;29.01.2024;0.30 Mio CHF;Apr 24;;;Gastgewerbe und Fremdenverkehr;1150;Raststätten, Cafeterias, Tea-Rooms und Bars;;;;;;;;;;;;;;;;;;
3273475;Abbruch Kindergarten;Moosstrasse 57a;9014;St. Gallen;SG;St. Gallen;GB 3567;Abbruch Kindergarten;Baubewilligung erteilt;05.06.2024;Baugesuch eingereicht;17.01.2024;0.03-0.04 Mio CHF;Mai 24;;;Unterricht, Bildung und Forschung;210;Kinderhorte und Kindergärten;;;;;;;;;;;;;;;;;;
3273577;Neubau Laufstall;Befigstrasse 4c;9050;Appenzell Steinegg;AI;Appenzell I.Rh.;Parz. 169;Neubau Laufstall (L-Zone);Baubewilligung erteilt;30.09.2024;Baugesuch eingereicht;01.02.2024;1.35 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;;;
3273579;Neubau Kanalisationsleitung;Eggerstandenstrasse;9050;Appenzell;AI;Appenzell I.Rh.;Parz. 1, 20, 23, 24, 26, 53, 62, 68, 79, 80, 1449;Neubau Kanalisationsleitung (L-Zone);Baubewilligung erteilt;26.03.2024;Baugesuch eingereicht;01.02.2024;1.27 Mio CHF;Apr 24;Sep 25;;Infrastrukturbauten;3110;Kanalisationen innerorts;;;;;;;;;;;;;;;;;;
3273644;Maschinenumhausung in Lagerhalle;Erlenhof;9200;Gossau SG;SG;St. Gallen;GS 2684;Maschinenumhausung in Lagerhalle und Zusammenschluss Gebäude;Baubewilligung erteilt;12.04.2024;Baugesuch eingereicht;01.02.2024;0.20 Mio CHF;;;;Industrie und Gewerbe;310;Lagerhallen;;;;;;;;;;;;;;;;;;
3273647;Anbau Einstreuanlage, Ersatzbau Kälberstall;Neuebnet;9525;Lenggenwil;SG;Wil;Gst. 73, 74;Anbau Einstreuanlage, Ersatzbau Kälberstall, Neubau Silobedachung und Allwetterplatz (Unternehmer bestimmt);Baubewilligung erteilt;17.11.2024;Baugesuch eingereicht;01.02.2024;0.50 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;
3273648;Sanierung Steildach und Ertüchtigung Bauteile;Schulstrasse 10;9402;Mörschwil;SG;Rorschach;Gst. 633;Sanierung Steildach und Ertüchtigung Bauteile;Baubewilligung erteilt;30.05.2024;Baugesuch eingereicht;01.02.2024;1.40 Mio CHF;Jun 24;Okt 24;;Unterricht, Bildung und Forschung;220;Primar- und Sekundarschulen;220;Primar- und Sekundarschulen;;;;;;;;;;;;;;;;
3273666;Ersatzbau Laufstall mit Jauchegrube und Neubau Hofzufahrt;Heiterswil 2263;9630;Wattwil;SG;Toggenburg;Gst. 1486;Ersatzbau Laufstall mit Jauchegrube und Neubau Hofzufahrt;Baubewilligung erteilt;17.11.2024;Baugesuch eingereicht;01.02.2024;1.35 Mio CHF;im Jahr 2025;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;480;Jauchegrube;2110;Strassen;;;;;;;;;;;;;;
3273670;Abbruch Einfamilienhaus;Berg 109;9622;Krinau;SG;Toggenburg;Gst. 68;Abbruch Einfamilienhaus;Baubewilligung erteilt;17.07.2024;Baugesuch eingereicht;01.02.2024;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273683;Erweiterung Tankstelle mit AdBlue Treibstoff;Rorschacherstrasse 133;9450;Lüchingen;SG;Rheintal;Gst. 1468;Erweiterung Tankstelle mit AdBlue Treibstoff;Baubewilligung erteilt;24.07.2024;Baugesuch eingereicht;01.02.2024;0.50-0.80 Mio CHF;;;;Technische Anlagen;540;Tankanlagen, Tankstellen;;;;;;;;;;;;;;;;;;
3273687;Erweiterung Schulhaus Sonnenbüel;Schulweg 9;8722;Kaltbrunn;SG;See-Gaster;Gst. 667;Erweiterung Schulhaus Sonnenbüel;Baubewilligung erteilt;22.07.2024;Baugesuch eingereicht;01.02.2024;4.60 Mio CHF;;;;Unterricht, Bildung und Forschung;220;Primar- und Sekundarschulen;;;;;;;;;;;;;;;;;;
3273711;Dachsanierung bei Büro- und Gewerbegebäude;Station;8887;Mels;SG;Sarganserland;Parz. 1550;Dachsanierung bei Büro- und Gewerbegebäude, Arbeiten bereits vergeben;Baubewilligung erteilt;05.03.2024;Baugesuch eingereicht;01.02.2024;0.26 Mio CHF;Mär 24;Mai 24;;Handel und Verwaltung;380;Betriebs- und Gewerbebauten;640;Bürobauten mit erhöhten Anforderungen;;;;;;;;;;;;;;;;
3274003;Neubau Reservoir;Vormülenen;9205;Waldkirch;SG;St. Gallen;GS 1186;Neubau Reservoir inkl. Vorplatz und Leitungsbauten;Baubewilligung erteilt;25.06.2024;Baugesuch eingereicht;31.01.2024;0.21 Mio CHF;08.07.2024;Mär 25;;Technische Anlagen;520;Wasseraufbereitungsanlagen;;;;;;;;;;;;;;;;;;
3274302;Abbruch Einfamilienhaus;Braunauerstrasse 10;9500;Wil SG;SG;Wil;Parz. 1221;Abbruch Einfamilienhaus;Baubewilligung erteilt;05.03.2024;Baugesuch eingereicht;02.02.2024;0.04 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3274334;Einbau Praxis und Airbnb-Vermietung;Gulerstrasse 20;7320;Sargans;SG;Sarganserland;Parz. 332;Einbau Praxis und Airbnb-Vermietung;Baubewilligung erteilt;07.03.2024;Baugesuch eingereicht;02.02.2024;0.27 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;810;Arztpraxen und Ärztehäuser;;;;;;;;;;;;;;;;
3274336;Neubau Wasserleitung;Sonnenstrasse;9313;Muolen;SG;St. Gallen;Gst. 789;Neubau Wasserleitung (L-Zone);Baubewilligung erteilt;08.05.2024;Baugesuch eingereicht;02.02.2024;0.34 Mio CHF;13.05.2024;Aug 24;;Infrastrukturbauten;3230;Gas- und Wasserverteilleitungen;;;;;;;;;;;;;;;;;;
