Anlieferungsdatum,Gewicht in Tonnen
2019-10-19 00:00:00+00:00,1195.3466666666666
2019-10-20 00:00:00+00:00,1278.3933333333334
2019-10-21 00:00:00+00:00,1361.44
2019-10-22 00:00:00+00:00,900.64
2019-10-23 00:00:00+00:00,1207.5
2019-10-24 00:00:00+00:00,1080.5
2019-10-25 00:00:00+00:00,1677.32
2019-10-26 00:00:00+00:00,1473.3933333333332
2019-10-27 00:00:00+00:00,1269.4666666666667
2019-10-28 00:00:00+00:00,1065.54
2019-10-29 00:00:00+00:00,862.98
2019-10-30 00:00:00+00:00,889.6800000000001
2019-10-31 00:00:00+00:00,824.62
2019-11-01 00:00:00+00:00,819.9200000000001
2019-11-02 00:00:00+00:00,815.22
2019-11-03 00:00:00+00:00,810.52
2019-11-04 00:00:00+00:00,805.82
2019-11-05 00:00:00+00:00,625.78
2019-11-06 00:00:00+00:00,988.04
2019-11-07 00:00:00+00:00,1161.8
2019-11-08 00:00:00+00:00,600.18
2019-11-09 00:00:00+00:00,767.7866666666666
2019-11-10 00:00:00+00:00,935.3933333333333
2019-11-11 00:00:00+00:00,1103.0
2019-11-12 00:00:00+00:00,1493.52
2019-11-13 00:00:00+00:00,1331.46
2019-11-14 00:00:00+00:00,878.26
2019-11-15 00:00:00+00:00,345.98
2019-11-16 00:00:00+00:00,423.86
2019-11-17 00:00:00+00:00,501.74
2019-11-18 00:00:00+00:00,579.62
2019-11-19 00:00:00+00:00,1111.98
2019-11-20 00:00:00+00:00,671.12
2019-11-21 00:00:00+00:00,627.3199999999999
2019-11-22 00:00:00+00:00,832.22
2019-11-23 00:00:00+00:00,1014.6866666666667
2019-11-24 00:00:00+00:00,1197.1533333333332
2019-11-25 00:00:00+00:00,1379.62
2019-11-26 00:00:00+00:00,1243.98
2019-11-27 00:00:00+00:00,1581.7
2019-11-28 00:00:00+00:00,2135.62
2019-11-29 00:00:00+00:00,1413.32
2019-11-30 00:00:00+00:00,1523.1466666666665
2019-12-01 00:00:00+00:00,1632.9733333333334
2019-12-02 00:00:00+00:00,1742.8
2019-12-03 00:00:00+00:00,2451.78
2019-12-04 00:00:00+00:00,1935.44
2019-12-05 00:00:00+00:00,1739.8799999999999
2019-12-06 00:00:00+00:00,1988.54
2019-12-07 00:00:00+00:00,1606.84
2019-12-08 00:00:00+00:00,1225.1399999999999
2019-12-09 00:00:00+00:00,843.44
2019-12-10 00:00:00+00:00,1749.32
2019-12-11 00:00:00+00:00,1322.24
2019-12-12 00:00:00+00:00,319.35
2019-12-13 00:00:00+00:00,516.3
2019-12-14 00:00:00+00:00,593.56
2019-12-15 00:00:00+00:00,670.82
2019-12-16 00:00:00+00:00,748.08
2019-12-17 00:00:00+00:00,887.88
2019-12-18 00:00:00+00:00,1213.94
2019-12-19 00:00:00+00:00,1067.92
2019-12-20 00:00:00+00:00,404.76
2019-12-21 00:00:00+00:00,307.75333333333333
2019-12-22 00:00:00+00:00,210.74666666666667
2019-12-23 00:00:00+00:00,113.74
2019-12-24 00:00:00+00:00,71.4
2019-12-25 00:00:00+00:00,44.480000000000004
2019-12-26 00:00:00+00:00,17.56
2019-12-27 00:00:00+00:00,110.68
2019-12-28 00:00:00+00:00,110.09333333333333
2019-12-29 00:00:00+00:00,109.50666666666667
2019-12-30 00:00:00+00:00,108.92
2019-12-31 00:00:00+00:00,93.2
2020-01-01 00:00:00+00:00,93.62666666666667
2020-01-02 00:00:00+00:00,94.05333333333334
2020-01-03 00:00:00+00:00,94.48
2020-01-04 00:00:00+00:00,227.16666666666669
2020-01-05 00:00:00+00:00,359.85333333333335
2020-01-06 00:00:00+00:00,492.54
2020-01-07 00:00:00+00:00,551.64
2020-01-08 00:00:00+00:00,676.7
2020-01-09 00:00:00+00:00,610.22
2020-01-10 00:00:00+00:00,441.04
2020-01-11 00:00:00+00:00,461.0866666666667
2020-01-12 00:00:00+00:00,481.1333333333333
2020-01-13 00:00:00+00:00,501.18
2020-01-14 00:00:00+00:00,1337.54
2020-01-15 00:00:00+00:00,860.88
2020-01-16 00:00:00+00:00,578.16
2020-01-17 00:00:00+00:00,635.16
